,cname,ccode,icode,year,gdp
0,Aruba,ABW,NY.GDP.MKTP.KD.ZG,1960,
1,Africa Eastern and Southern,AFE,NY.GDP.MKTP.KD.ZG,1960,
2,Afghanistan,AFG,NY.GDP.MKTP.KD.ZG,1960,
3,Africa Western and Central,AFW,NY.GDP.MKTP.KD.ZG,1960,
4,Angola,AGO,NY.GDP.MKTP.KD.ZG,1960,
5,Albania,ALB,NY.GDP.MKTP.KD.ZG,1960,
6,Andorra,AND,NY.GDP.MKTP.KD.ZG,1960,
7,Arab World,ARB,NY.GDP.MKTP.KD.ZG,1960,
8,United Arab Emirates,ARE,NY.GDP.MKTP.KD.ZG,1960,
9,Argentina,ARG,NY.GDP.MKTP.KD.ZG,1960,
10,Armenia,ARM,NY.GDP.MKTP.KD.ZG,1960,
11,American Samoa,ASM,NY.GDP.MKTP.KD.ZG,1960,
12,Antigua and Barbuda,ATG,NY.GDP.MKTP.KD.ZG,1960,
13,Australia,AUS,NY.GDP.MKTP.KD.ZG,1960,
14,Austria,AUT,NY.GDP.MKTP.KD.ZG,1960,
15,Azerbaijan,AZE,NY.GDP.MKTP.KD.ZG,1960,
16,Burundi,BDI,NY.GDP.MKTP.KD.ZG,1960,
17,Belgium,BEL,NY.GDP.MKTP.KD.ZG,1960,
18,Benin,BEN,NY.GDP.MKTP.KD.ZG,1960,
19,Burkina Faso,BFA,NY.GDP.MKTP.KD.ZG,1960,
20,Bangladesh,BGD,NY.GDP.MKTP.KD.ZG,1960,
21,Bulgaria,BGR,NY.GDP.MKTP.KD.ZG,1960,
22,Bahrain,BHR,NY.GDP.MKTP.KD.ZG,1960,
23,"Bahamas, The",BHS,NY.GDP.MKTP.KD.ZG,1960,
24,Bosnia and Herzegovina,BIH,NY.GDP.MKTP.KD.ZG,1960,
25,Belarus,BLR,NY.GDP.MKTP.KD.ZG,1960,
26,Belize,BLZ,NY.GDP.MKTP.KD.ZG,1960,
27,Bermuda,BMU,NY.GDP.MKTP.KD.ZG,1960,
28,Bolivia,BOL,NY.GDP.MKTP.KD.ZG,1960,
29,Brazil,BRA,NY.GDP.MKTP.KD.ZG,1960,
30,Barbados,BRB,NY.GDP.MKTP.KD.ZG,1960,
31,Brunei Darussalam,BRN,NY.GDP.MKTP.KD.ZG,1960,
32,Bhutan,BTN,NY.GDP.MKTP.KD.ZG,1960,
33,Botswana,BWA,NY.GDP.MKTP.KD.ZG,1960,
34,Central African Republic,CAF,NY.GDP.MKTP.KD.ZG,1960,
35,Canada,CAN,NY.GDP.MKTP.KD.ZG,1960,
36,Central Europe and the Baltics,CEB,NY.GDP.MKTP.KD.ZG,1960,
37,Switzerland,CHE,NY.GDP.MKTP.KD.ZG,1960,
38,Channel Islands,CHI,NY.GDP.MKTP.KD.ZG,1960,
39,Chile,CHL,NY.GDP.MKTP.KD.ZG,1960,
40,China,CHN,NY.GDP.MKTP.KD.ZG,1960,
41,Cote d'Ivoire,CIV,NY.GDP.MKTP.KD.ZG,1960,
42,Cameroon,CMR,NY.GDP.MKTP.KD.ZG,1960,
43,"Congo, Dem. Rep.",COD,NY.GDP.MKTP.KD.ZG,1960,
44,"Congo, Rep.",COG,NY.GDP.MKTP.KD.ZG,1960,
45,Colombia,COL,NY.GDP.MKTP.KD.ZG,1960,
46,Comoros,COM,NY.GDP.MKTP.KD.ZG,1960,
47,Cabo Verde,CPV,NY.GDP.MKTP.KD.ZG,1960,
48,Costa Rica,CRI,NY.GDP.MKTP.KD.ZG,1960,
49,Caribbean small states,CSS,NY.GDP.MKTP.KD.ZG,1960,
50,Cuba,CUB,NY.GDP.MKTP.KD.ZG,1960,
51,Curacao,CUW,NY.GDP.MKTP.KD.ZG,1960,
52,Cayman Islands,CYM,NY.GDP.MKTP.KD.ZG,1960,
53,Cyprus,CYP,NY.GDP.MKTP.KD.ZG,1960,
54,Czechia,CZE,NY.GDP.MKTP.KD.ZG,1960,
55,Germany,DEU,NY.GDP.MKTP.KD.ZG,1960,
